max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,1,970,24,7,6.25,18,276.02173,24,1,56,52,42,1,1,1
30,1,980,25,8,6,15.875,158.91667,23,1,56,52,42,1,1,1
30,1,990,22,8,6.818182,16.5,135.10823,18,1,56,52,42,1,1,1
30,1,1000,19,5,7.894737,26,582.4327,20,1,56,52,42,1,1,1
30,2,10,115,8,1.3043479,3.625,0.5469114,121,1,59,43,48,1,1,1
30,2,20,116,9,1.2931035,3.4444444,0.5220395,119,1,59,43,48,1,1,1
30,2,30,116,6,1.2931035,3.6666667,0.46986565,128,1,59,43,48,1,1,1
30,2,40,112,10,1.3392857,3.3,0.5324975,117,1,59,43,48,1,1,1
30,2,50,97,14,1.5463917,3.7857144,1.1045971,97,1,59,43,48,1,1,1
30,2,60,104,11,1.4423077,3.7272727,0.8121725,109,1,59,43,48,1,1,1
30,2,70,100,12,1.5,4,1.0404041,102,1,59,43,48,1,1,1
30,2,80,94,16,1.5957447,3.75,1.1681535,90,1,59,43,48,1,1,1
30,2,90,83,16,1.8072289,4.3125,2.1331143,81,1,59,43,48,1,1,1
30,2,100,84,14,1.7857143,4.785714,2.7005124,83,1,59,43,48,1,1,1
30,2,110,80,12,1.875,5.75,4.414557,81,1,59,43,48,1,1,1
30,2,120,71,14,2.1126761,5.642857,4.729974,71,1,59,43,48,1,1,1
30,2,130,74,15,2.0270271,5.3333335,4.8759694,70,1,59,43,48,1,1,1
30,2,140,73,14,2.0547945,5.571429,4.3302813,72,1,59,43,48,1,1,1
30,2,150,68,14,2.2058823,5.785714,5.9868355,69,1,59,43,48,1,1,1
30,2,160,63,15,2.3809524,5.866667,10.271902,62,1,59,43,48,1,1,1
30,2,170,60,17,2.5,5.8235292,10.830508,51,1,59,43,48,1,1,1
30,2,180,57,13,2.631579,7.4615383,13.236839,53,1,59,43,48,1,1,1
30,2,190,53,12,2.8301888,8.5,33.336002,48,1,59,43,48,1,1,1
30,2,200,54,14,2.7777777,7.285714,15.345921,48,1,59,43,48,1,1,1
30,2,210,53,13,2.8301888,7.769231,14.720616,49,1,59,43,48,1,1,1
30,2,220,61,15,2.4590163,6.2,6.585789,57,1,59,43,48,1,1,1
30,2,230,52,16,2.8846154,6.5,9.751135,46,1,59,43,48,1,1,1
30,2,240,46,14,3.2608695,8,28.241566,38,1,59,43,48,1,1,1
30,2,250,48,15,3.125,7.2,13.218085,42,1,59,43,48,1,1,1
30,2,260,50,16,3,6.8125,12.448979,41,1,59,43,48,1,1,1
30,2,270,54,13,2.7777777,7.5384617,11.874224,52,1,59,43,48,1,1,1
30,2,280,59,17,2.542373,5.7058825,7.6662703,53,1,59,43,48,1,1,1
