update algorithm,max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
m1,30,2,1450,33,16,4.5454545,8.0625,39.255672,21,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1500,34,14,4.4117646,9.071428,41.46168,23,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1550,37,17,4.0540543,7.352941,33.052563,25,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1600,36,12,4.1666665,9.833333,92.02858,32,1,47,46,57,1,1,1
m1,30,2,1650,32,13,4.6875,9.692307,168.3508,24,1,47,46,57,1,1,1
m1,30,2,1700,32,10,4.6875,12.1,149.5121,29,1,47,46,57,1,1,1
m1,30,2,1750,22,10,6.818182,13.4,313.77484,16,1,47,46,57,1,1,1
m1,30,2,1800,28,10,5.357143,12.6,143.57141,24,1,47,46,57,1,1,1
m1,30,2,1850,28,12,5.357143,11.083333,130.01582,17,1,47,46,57,1,1,1
m1,30,2,1900,33,12,4.5454545,10.166667,55.193165,28,1,47,46,57,1,1,1
m1,30,2,1950,27,11,5.5555553,11.727273,80.64103,21,1,47,46,57,1,1,1
m1,30,2,2000,29,15,5.172414,8.733334,75.7192,19,1,47,46,57,1,1,1
m1,30,2,2050,26,10,5.769231,12.8,207.94461,22,1,47,46,57,1,1,1
m1,30,2,2100,30,11,5,11.363636,162.13792,25,1,47,46,57,1,1,1
m1,30,2,2150,29,12,5.172414,10.666667,114.29063,22,1,47,46,57,1,1,1
m1,30,2,2200,31,12,4.83871,10.75,105.53973,21,1,47,46,57,1,1,1
m1,30,2,2250,24,11,6.25,12.272727,218.02174,15,1,47,46,57,1,1,1
m1,30,2,2300,22,8,6.818182,16.5,275.4891,18,1,47,46,57,1,1,1
m1,30,2,2350,29,13,5.172414,10.230769,57.719227,17,1,47,46,57,1,1,1
m1,30,2,2400,25,9,6,14.555555,116.75,19,1,47,46,57,1,1,1
m1,30,2,2450,27,11,5.5555553,11.909091,115.256454,19,1,47,46,57,1,1,1
m1,30,2,2500,30,12,5,10.416667,70.413795,25,1,47,46,57,1,1,1
m1,30,2,2550,30,8,5,15.375,83.10345,27,1,47,46,57,1,1,1
m1,30,2,2600,31,8,4.83871,15.25,70.33977,28,1,47,46,57,1,1,1
m1,30,2,2650,28,8,5.357143,15.625,91.12696,25,1,47,46,57,1,1,1
m1,30,2,2700,29,9,5.172414,13.888889,66.43351,25,1,47,46,57,1,1,1
m1,30,2,2750,33,14,4.5454545,9.142858,29.693186,22,1,47,46,57,1,1,1
m1,30,2,2800,28,10,5.357143,12.9,69.86774,21,1,47,46,57,1,1,1
m1,30,2,2850,32,13,4.6875,9.846154,37.125,22,1,47,46,57,1,1,1
m1,30,2,2900,36,14,4.1666665,8.928572,40.77146,25,1,47,46,57,1,1,1
m1,30,2,2950,36,9,4.1666665,13.222222,75.34288,31,1,47,46,57,1,1,1
m1,30,2,3000,30,6,5,20.166666,114.413795,29,1,47,46,57,1,1,1
m1,30,2,3050,34,10,4.4117646,12,35.037437,30,1,47,46,57,1,1,1
m1,30,2,3100,36,13,4.1666665,9.461538,30.428576,27,1,47,46,57,1,1,1
m1,30,2,3150,29,6,5.172414,20,201.14792,30,1,47,46,57,1,1,1
m1,30,2,3200,17,7,8.823529,19.857143,371.1543,11,1,47,46,57,1,1,1
m1,30,2,3250,19,7,7.894737,19.285715,442.43292,15,1,47,46,57,1,1,1
m1,30,2,3300,27,9,5.5555553,14.333333,162.17947,21,1,47,46,57,1,1,1
m1,30,2,3350,31,12,4.83871,10.5,70.8731,24,1,47,46,57,1,1,1
m1,30,2,3400,27,13,5.5555553,10.230769,62.179466,17,1,47,46,57,1,1,1
