max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,1,250,55,13,2.7272727,7.769231,22.60946,49,1,44,47,59,1,1,1
30,1,260,59,15,2.542373,6.4,8.528341,54,1,44,47,59,1,1,1
30,1,270,64,16,2.34375,5.6875,7.4990077,59,1,44,47,59,1,1,1
30,1,280,58,14,2.586207,6.642857,11.2292795,57,1,44,47,59,1,1,1
30,1,290,62,12,2.419355,7.1666665,10.411428,64,1,44,47,59,1,1,1
30,1,300,63,11,2.3809524,6.909091,7.4976974,74,1,44,47,59,1,1,1
30,1,310,59,15,2.542373,6.133333,8.838683,58,1,44,47,59,1,1,1
30,1,320,64,16,2.34375,5.4375,7.594246,63,1,44,47,59,1,1,1
30,1,330,67,16,2.238806,5.25,7.1239257,66,1,44,47,59,1,1,1
30,1,340,68,10,2.2058823,7.8,14.942055,72,1,44,47,59,1,1,1
30,1,350,66,15,2.2727273,6,8.13986,60,1,44,47,59,1,1,1
30,1,360,60,11,2.5,8.454545,13.576271,57.000008,1,44,47,59,1,1,1
30,1,370,60,15,2.5,6.3333335,9.677966,55,1,44,47,59,1,1,1
30,1,380,61,14,2.4590163,6.785714,11.385789,55,1,44,47,59,1,1,1
30,1,390,59,15,2.542373,6.6,11.873169,51,1,44,47,59,1,1,1
30,1,400,53,13,2.8301888,7.769231,21.797539,49,1,44,47,59,1,1,1
30,1,410,54,16,2.7777777,6.4375,11.194978,47,1,44,47,59,1,1,1
30,1,420,56,16,2.6785715,6.25,9.058437,50,1,44,47,59,1,1,1
30,1,430,60,18,2.5,5.5555553,6.6271186,50,1,44,47,59,1,1,1
30,1,440,48,16,3.125,7.0625,12.069149,37,1,44,47,59,1,1,1
30,1,450,46,16,3.2608695,7.125,14.952647,36,1,44,47,59,1,1,1
30,1,460,46,16,3.2608695,7.1875,15.530425,35,1,44,47,59,1,1,1
30,1,470,47,17,3.1914895,6.7058825,24.63644,36,1,44,47,59,1,1,1
30,1,480,49,17,3.0612245,6.647059,18.767012,37,1,44,47,59,1,1,1
30,1,490,47,13,3.1914895,8.461538,34.54948,40,1,44,47,59,1,1,1
30,1,500,42,14,3.5714285,8.571428,46.885056,30,1,44,47,59,1,1,1
30,1,510,39,12,3.8461537,9.916667,58.65992,31,1,44,47,59,1,1,1
30,1,520,43,15,3.488372,7.8,36.351055,33,1,44,47,59,1,1,1
30,1,530,43,12,3.488372,9.25,42.160576,39,1,44,47,59,1,1,1
30,1,540,42,14,3.5714285,8.214286,43.567966,35,1,44,47,59,1,1,1
30,1,550,41,13,3.6585367,8.923077,49.980526,34,1,44,47,59,1,1,1
30,1,560,39,11,3.8461537,10.363636,43.870453,36,1,44,47,59,1,1,1
30,1,570,39,12,3.8461537,9.583333,44.238873,35,1,44,47,59,1,1,1
30,1,580,42,14,3.5714285,8.142858,27.470402,35.999992,1,44,47,59,1,1,1
30,1,590,44,12,3.409091,9.083333,32.107822,41,1,44,47,59,1,1,1
30,1,600,38,14,3.9473684,8.5,32.321484,31,1,44,47,59,1,1,1
30,1,610,38,8,3.9473684,14.375,76.48366,35,1,44,47,59,1,1,1
30,1,620,39,11,3.8461537,10.636364,51.71255,33,1,44,47,59,1,1,1
30,1,630,41,13,3.6585367,8.923077,37.380512,34,1,44,47,59,1,1,1
30,1,640,42,13,3.5714285,9,30.689926,33,1,44,47,59,1,1,1
30,1,650,40,15,3.75,8.2,46.346153,27,1,44,47,59,1,1,1
30,1,660,36,16,4.1666665,7.9375,31.857153,23,1,44,47,59,1,1,1
30,1,670,32,13,4.6875,9.769231,87.44758,23,1,44,47,59,1,1,1
30,1,680,38,12,3.9473684,10.083333,41.889057,29,1,44,47,59,1,1,1
30,1,690,38,12,3.9473684,10,41.240414,30,1,44,47,59,1,1,1
30,1,700,38,14,3.9473684,8.714286,26.862005,28,1,44,47,59,1,1,1
30,1,710,38,15,3.9473684,8.266666,20.699848,26,1,44,47,59,1,1,1
30,1,720,41,16,3.6585367,7.625,15.530482,28,1,44,47,59,1,1,1
30,1,730,44,16,3.409091,7.4375,14.71247,31,1,44,47,59,1,1,1
30,1,740,44,15,3.409091,7.8,22.386889,33,1,44,47,59,1,1,1
30,1,750,48,18,3.125,6.4444447,11.813829,34,1,44,47,59,1,1,1
30,1,760,48,19,3.125,6.0526314,11.601064,35,1,44,47,59,1,1,1
30,1,770,47,18,3.1914895,6.2222223,9.723401,38,1,44,47,59,1,1,1
30,1,780,44,13,3.409091,8.307693,17.968287,42,1,44,47,59,1,1,1
30,1,790,44,17,3.409091,6.7647057,13.642704,35,1,44,47,59,1,1,1
30,1,800,46,14,3.2608695,7.857143,18.330423,40,1,44,47,59,1,1,1
30,1,810,39,13,3.8461537,9.076923,28.186232,32,1,44,47,59,1,1,1
30,1,820,42,15,3.5714285,7.6666665,18.104528,35,1,44,47,59,1,1,1
